family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.1,7,0,0.125,1.0,0.9999220353548954,0.9999999991653316
Gilbert,5,,0.1,7,1,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,2,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,3,0.125,1.0,0.9999999999946056,0.9999999999949029
Gilbert,5,,0.1,7,4,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,5,0.484375,0.75,0.9999999992296313,0.9999999996561397
Gilbert,5,,0.1,7,6,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,7,0.125,1.0,0.9999999999946054,0.9999999999949024
Gilbert,5,,0.1,7,8,0.125,1.0,0.9999999999946054,0.9999999999949021
Gilbert,5,,0.1,7,9,0.125,1.0,0.9999999999946054,0.9999999999949021
Gilbert,5,,0.1,7,10,0.3333333333333333,1.0,0.9999999999753179,0.9999999999997916
Gilbert,5,,0.1,7,11,0.125,1.0,0.9999999999946054,0.9999999999949034
Gilbert,5,,0.1,7,12,0.125,1.0,0.9999999999946051,0.9999999999949025
Gilbert,5,,0.1,7,13,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,14,0.3333333333333333,1.0,0.999999999975319,0.999999999999792
Gilbert,5,,0.1,7,15,0.125,1.0,0.9999999999946054,0.9999999999949024
Gilbert,5,,0.1,7,16,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,17,0.0,1.0,0.75,0.500000000000001
Gilbert,5,,0.1,7,18,0.125,1.0,0.9999912166226556,0.999999999797307
Gilbert,5,,0.1,7,19,0.125,1.0,0.9999999999946054,0.9999999999949016
Gilbert,5,,0.1,8,0,0.125,1.0,0.9999999848598649,0.9999999993041365
Gilbert,5,,0.1,8,1,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,2,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,3,0.125,1.0,0.9999999999996996,0.9999999995619662
Gilbert,5,,0.1,8,4,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,5,0.484375,0.75,0.9999999996232154,0.9999999993119523
Gilbert,5,,0.1,8,6,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,7,0.125,1.0,0.9999999999996992,0.9999999995619666
Gilbert,5,,0.1,8,8,0.125,1.0,0.9999999999996976,0.9999999995619657
Gilbert,5,,0.1,8,9,0.125,1.0,0.9999999999996976,0.9999999995619657
Gilbert,5,,0.1,8,10,0.3333333333333333,1.0,0.9999999999996105,0.9999999999998339
Gilbert,5,,0.1,8,11,0.125,1.0,0.9999999999996978,0.9999999995619666
Gilbert,5,,0.1,8,12,0.125,1.0,0.9999999999996984,0.9999999995619674
Gilbert,5,,0.1,8,13,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,14,0.3333333333333333,1.0,0.9999999999996104,0.9999999999998331
Gilbert,5,,0.1,8,15,0.125,1.0,0.9999999999996992,0.9999999995619666
Gilbert,5,,0.1,8,16,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,17,0.0,1.0,0.75,0.49999999999999883
Gilbert,5,,0.1,8,18,0.125,1.0,0.9999999984550136,0.9999999994566242
Gilbert,5,,0.1,8,19,0.125,1.0,0.9999999999996982,0.9999999995619657
Gilbert,5,,0.1,9,0,0.125,1.0,0.9999999964395438,0.9999999993968326
Gilbert,5,,0.1,9,1,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,2,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,3,0.125,1.0,0.9999999999997802,0.9999999999994926
Gilbert,5,,0.1,9,4,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,5,0.484375,0.75,0.9999999999625713,0.9999999980481983
Gilbert,5,,0.1,9,6,0.0,1.0,0.75,0.5000000000000013
Gilbert,5,,0.1,9,7,0.125,1.0,0.9999999999997798,0.9999999999994929
Gilbert,5,,0.1,9,8,0.125,1.0,0.9999999999997802,0.9999999999994935
Gilbert,5,,0.1,9,9,0.125,1.0,0.9999999999997802,0.9999999999994935
Gilbert,5,,0.1,9,10,0.3333333333333333,1.0,0.9999999999964001,0.9999999999737067
Gilbert,5,,0.1,9,11,0.125,1.0,0.99999999999978,0.9999999999994924
Gilbert,5,,0.1,9,12,0.125,1.0,0.9999999999997811,0.9999999999994935
