family,N,d,q,p,relax_core_ratio_mean,relax_core_ratio_stderr,relax_rounded_ratio_mean,relax_rounded_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,6,,0.5,4,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.7533391555918504,0.05400649225241739,0.7167897941235866,0.0470481534984918
Gilbert,6,,0.5,5,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.8861578552545397,0.03016573697925465,0.8051690925755455,0.029856141498602006
Gilbert,6,,0.5,6,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.8599230657878854,0.0510031380976592,0.8119973273672164,0.047840943181428945
Gilbert,6,,0.5,7,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.870458842952241,0.050347787352542805,0.818324786627131,0.047638022857143254
Gilbert,6,,0.5,8,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.8794837266767923,0.044884497896202594,0.8300419144773212,0.04128784207465953
Gilbert,6,,0.5,9,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.9091519787869334,0.03427819334610782,0.8766932227960428,0.034129408841021835
Gilbert,6,,0.5,10,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.904007425000035,0.03628925864149895,0.8853151732229634,0.0358558480391636
Gilbert,7,,0.1,1,0.11166666666666669,0.017050406865204298,1.0,0.0,0.890861175410443,0.019179486219439837,0.7551773509079983,0.03620687185426991
Gilbert,7,,0.1,2,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9396808994258926,0.021887770841496366,0.8514036823362122,0.042313014311490565
Gilbert,7,,0.1,3,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9472105693154133,0.02267362466035147,0.8803073462862064,0.04486732889258239
Gilbert,7,,0.1,4,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9490326008326134,0.022836269994450986,0.8924639090687586,0.04524053767148185
Gilbert,7,,0.1,5,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9494902256870628,0.022885236288993315,0.8937436130927143,0.04534095928147384
Gilbert,7,,0.1,6,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9498748184069944,0.02292745436076698,0.8986876747194833,0.045745065969981714
Gilbert,7,,0.1,7,0.11166666666666669,0.017050406865204298,1.0,0.0,0.949936822164038,0.022934411432508187,0.8991444423979915,0.04579054494686426
Gilbert,7,,0.1,8,0.11166666666666669,0.017050406865204298,1.0,0.0,0.949964686872336,0.02293754944703354,0.8992211321887525,0.045800092505421705
Gilbert,7,,0.1,9,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9499785197310302,0.022939119131322523,0.8994537771873897,0.04582370339307543
Gilbert,7,,0.1,10,0.11166666666666669,0.017050406865204298,1.0,0.0,0.9499963849950817,0.022941158976733655,0.8994234524823517,0.0458205919009269
Gilbert,7,,0.25,1,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.6309373522356937,0.06596084178829162,0.5488720471141731,0.04414494970945995
Gilbert,7,,0.25,2,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.8791720333120635,0.025627154655197916,0.7101564296322915,0.04356596169215591
Gilbert,7,,0.25,3,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9465744041417927,0.020232030685772253,0.8120161580678034,0.03208468442687099
Gilbert,7,,0.25,4,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9497437651290799,0.02969597108719493,0.869281534756339,0.027455738300572328
Gilbert,7,,0.25,5,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9525560852838962,0.031369476150158226,0.8746657868722831,0.03173177900018087
Gilbert,7,,0.25,6,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9671102585002839,0.02081402424527773,0.9227413994065345,0.019861295527318256
Gilbert,7,,0.25,7,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9553878481768449,0.032612061321116784,0.928031106779877,0.020995788957614007
Gilbert,7,,0.25,8,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9599897826513019,0.029603299915462417,0.9285798140717649,0.021010344443433342
Gilbert,7,,0.25,9,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9857761882290397,0.009108870305291913,0.953617466969798,0.014134670138119613
Gilbert,7,,0.25,10,0.21111979166666667,0.02032375261163256,0.95625,0.030450293836625654,0.9923191738959375,0.006987995487215819,0.9552733695870836,0.01329880559911289
Gilbert,7,,0.5,1,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.34826451489147137,0.04876584780057544,0.3890992375895215,0.03630034687716805
Gilbert,7,,0.5,2,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.585500054084478,0.1211742992943284,0.37784065029603714,0.11861991259035833
