family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
Gilbert,12,0.25,3,3.88535258914344,0.3533533536729363,158.2,13.75483753286659,0.628983805403154,0.05196043183525111
Gilbert,13,0.25,3,3.6502355739008636,0.4042405325459614,143.0,11.176363948579658,0.6850697265756238,0.055184102153815855
Gilbert,14,0.25,3,4.91729101894889,0.30854793946820197,160.0,6.102822662051097,0.6101142689664304,0.0803686155229671
Gilbert,15,0.25,3,5.395529539277777,0.6312253995959812,163.0,14.727902468142268,0.42639638650881573,0.07536094693444463
Gilbert,5,0.25,5,2.551290859701112,0.48823927973697145,240.8,38.03063092940858,0.9683274396243995,0.024445179057688234
Gilbert,6,0.25,5,2.8419582857284693,0.4976221868592937,216.0,29.845528233816793,0.9577050401194,0.026372065712182476
Gilbert,7,0.25,5,5.8905017948942255,0.5844817564781403,332.8,28.366177042386237,0.9762190323077764,0.021482841673011732
Gilbert,8,0.25,5,6.638062851736322,0.4706142976672959,333.0,20.522616250804326,0.8917141054332651,0.06561623734252886
Gilbert,9,0.25,5,8.006119722686709,0.7540848551783156,346.6,29.102195411648545,0.8300768283675938,0.0696740037864258
Gilbert,10,0.25,5,9.34844627212733,1.0430278721785256,358.4,26.815915672102882,0.9416136783838415,0.03265324335169139
Gilbert,11,0.25,5,10.516081758658402,1.7111376191595873,348.4,45.05680365444885,0.9033651597622493,0.03583717386025322
Gilbert,12,0.25,5,16.156513693230227,1.9614123606405338,437.6,37.615363291553564,0.7665635355037508,0.037427493606906975
Gilbert,13,0.25,5,15.902409965917467,2.606150366226567,420.0,51.71546083028642,0.7702857187052953,0.05506131679820589
Gilbert,14,0.25,5,22.275462353928013,2.22942097668812,474.8,31.898728640635333,0.7734088872325913,0.054060783839469446
Gilbert,15,0.25,5,21.38191461856477,1.960401814675927,440.4,35.51750742005037,0.5275139603817504,0.10420255095771519
Gilbert,5,0.25,7,7.919635947188363,2.095253648455328,523.6,121.82822150698725,0.9746561084084572,0.024962391336484008
Gilbert,6,0.25,7,7.209485725290142,1.3726879208387401,410.2,64.71644132504333,0.9748642855922368,0.02498527868588171
Gilbert,7,0.25,7,16.088248077291063,1.4809343005258155,705.2,71.14317332753095,0.9759926548580289,0.02372488777216858
Gilbert,8,0.25,7,18.165027345204727,1.510369149473965,694.0,57.59166606376307,0.9747152298490633,0.01989072414249558
Gilbert,9,0.25,7,20.479295981000178,1.8321952431777586,665.2,46.305459241384874,0.8953982991333225,0.039491309549676994
Gilbert,10,0.25,7,26.17670165845193,2.8072985991783974,753.2,62.75114872786528,0.9637558475705987,0.024175316768841455
Gilbert,11,0.25,7,26.417086347774603,3.038870903317328,676.2,69.84328489156594,0.9348876022813274,0.028719452029341223
Gilbert,12,0.25,7,40.83418584801257,3.4272696849175586,844.0,58.3377141212174,0.7968113694253735,0.040625891108603214
Gilbert,13,0.25,7,38.482942250976336,4.2030314067471055,789.0,64.69638492390608,0.7371316874706959,0.06338042679695147
Gilbert,14,0.25,7,52.92027036389336,5.130981790970191,877.2,61.85948234147741,0.7895075067878257,0.06047471661648641
Gilbert,15,0.25,7,53.235466230567546,5.41732101061413,837.0,71.96125500727611,0.7004903087140333,0.07431361696154332
Gilbert,5,0.25,10,18.390819090092556,4.589641807371752,937.4,219.10749264535278,0.9749779825592804,0.024997557668940455
Gilbert,6,0.25,10,17.365653353882955,4.767617041270136,734.8,161.2416268282549,0.9749910375362016,0.024999005635470514
Gilbert,7,0.25,10,42.14791623798665,4.0761511477271055,1406.0,154.57065985784263,0.9859487643349782,0.013982142336606234
Gilbert,8,0.25,10,51.89552988833748,5.20156390946743,1458.2,136.98741223598287,0.9943750999222966,0.005163484939454532
Gilbert,9,0.25,10,66.67359727099537,7.39012195382021,1506.0,113.80802549322549,0.9331122126959126,0.02397830257915272
Gilbert,10,0.25,10,69.36123934963253,9.271494141131525,1527.8,156.11518539562738,0.9783347367428924,0.01352058790839465
