family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
Gilbert,15,0.25,4,11.970601514499867,1.1475828686786218,292.2,22.263971892823715,0.5923528155982881,0.04890371948181559
Gilbert,5,0.25,5,2.525527250803134,0.48558223019277497,240.8,38.03063092940858,0.9683274396243995,0.024445179057688234
Gilbert,6,0.25,5,2.7735369023983365,0.4889873021810581,216.0,29.845528233816793,0.9577050401194,0.026372065712182476
Gilbert,7,0.25,5,5.8696064205025325,0.5806693920904689,332.8,28.366177042386237,0.9762190323077764,0.021482841673011732
Gilbert,8,0.25,5,6.501052542700199,0.46739980306537593,333.0,20.522616250804326,0.8917141054332651,0.06561623734252886
Gilbert,9,0.25,5,7.818867940701603,0.7413719985558913,346.6,29.102195411648545,0.8300768283675938,0.0696740037864258
Gilbert,10,0.25,5,9.039036011399002,0.9952089003934118,358.4,26.815915672102882,0.9416136783838415,0.03265324335169139
Gilbert,11,0.25,5,10.193582195301133,1.6596591698660474,348.4,45.05680365444885,0.9033651597622493,0.03583717386025322
Gilbert,12,0.25,5,15.571535855997354,1.8852936140439345,437.6,37.615363291553564,0.7665635355037508,0.037427493606906975
Gilbert,13,0.25,5,15.856012207599997,2.6188444916221556,420.0,51.71546083028642,0.7702857187052953,0.05506131679820589
Gilbert,14,0.25,5,22.252788225200494,2.221737393683312,474.8,31.898728640635333,0.7734088872325913,0.054060783839469446
Gilbert,15,0.25,5,21.135676279298785,1.9223508468137103,440.4,35.51750742005037,0.5275139603817504,0.10420255095771519
Gilbert,5,0.25,6,4.44900413749856,1.0137112296562292,350.8,67.92558019218123,0.9742303934816607,0.024916980001243514
Gilbert,6,0.25,6,4.592542700501508,0.8708068244705036,301.2,45.15277769233397,0.9747488990358695,0.024973194282015897
Gilbert,7,0.25,6,9.655542090800008,0.8762139097021754,490.6,43.86043522102554,0.9764731388702635,0.01823839755057413
Gilbert,8,0.25,6,11.23234741649794,0.8165768209438168,496.8,34.098158959750954,0.9094016219145956,0.05727933679551547
Gilbert,9,0.25,6,13.228784525698575,1.248286161840029,497.2,39.23060030129542,0.8634004386569691,0.049297555793871815
Gilbert,10,0.25,6,16.81190609769983,1.8762394483898004,546.6,43.09065379458107,0.9663087330600335,0.01905298182652578
Gilbert,11,0.25,6,17.014246202798677,2.6074463296953976,488.6,61.68669944881869,0.9037335979903542,0.032804859878186106
Gilbert,12,0.25,6,25.55160507110413,2.098779845550582,608.2,39.05261408237183,0.7943495859906889,0.04125905874880481
Gilbert,13,0.25,6,25.984924567100826,3.1649460248169916,599.0,57.475985323340815,0.8210859769701525,0.03896104004259092
Gilbert,14,0.25,6,35.70195549089694,3.2477492594478283,667.4,42.934627309692836,0.7928688032642927,0.06671774736594
Gilbert,15,0.25,6,35.24738623530429,3.5336398662356396,632.6,53.93498143340945,0.6348520752270186,0.09394910770216182
Gilbert,5,0.25,7,7.7660935103005615,2.044415743870989,523.6,121.82822150698725,0.9746561084084572,0.024962391336484008
Gilbert,6,0.25,7,7.028890964901075,1.3380449409671231,410.2,64.71644132504333,0.9748642855922368,0.02498527868588171
Gilbert,7,0.25,7,15.698260818001291,1.4582848249621247,705.2,71.14317332753095,0.9759926548580289,0.02372488777216858
Gilbert,8,0.25,7,17.77031923530012,1.4759228142236238,694.0,57.59166606376307,0.9747152298490633,0.01989072414249558
Gilbert,9,0.25,7,19.950238669900862,1.7694549311313934,665.2,46.305459241384874,0.8953982991333225,0.039491309549676994
Gilbert,10,0.25,7,25.414755452501414,2.710368552452449,753.2,62.75114872786528,0.9637558475705987,0.024175316768841455
Gilbert,11,0.25,7,25.756812130700563,2.948843521275835,676.2,69.84328489156594,0.9348876022813274,0.028719452029341223
Gilbert,12,0.25,7,39.57415873660066,3.3288171776208273,844.0,58.3377141212174,0.7968113694253735,0.040625891108603214
Gilbert,13,0.25,7,37.75287239240133,4.178143814636276,789.0,64.69638492390608,0.7371316874706959,0.06338042679695147
Gilbert,14,0.25,7,51.31176660330093,4.887758601122004,877.2,61.85948234147741,0.7895075067878257,0.06047471661648641
Gilbert,15,0.25,7,51.60017733189598,5.309033236082471,837.0,71.96125500727611,0.7004903087140333,0.07431361696154332
Gilbert,5,0.25,8,10.412117808897165,2.782070249122013,645.8,153.25083287792523,0.9748405072025459,0.024982403950156766
Gilbert,6,0.25,8,9.547739841000293,1.9157624119944838,496.2,82.11182077576352,0.9749280735042714,0.024992109986572864
Gilbert,7,0.25,8,23.387973269399662,2.4925673027073243,943.0,106.24468614162937,0.979083647053786,0.020752201920449763
Gilbert,8,0.25,8,28.59646366940142,3.2323418042037155,978.2,99.28878195557755,0.9636807315810934,0.02392384947857788
Gilbert,9,0.25,8,30.339772340004856,2.9154843172923965,893.8,58.95041230654041,0.9011219183116401,0.04402492620829123
Gilbert,10,0.25,8,39.134815893099585,4.3590925888965435,1006.4,86.21306938819272,0.9658664711064608,0.02402521285807069
Gilbert,11,0.25,8,38.728778015100396,3.753908616395586,880.4,77.22279456222755,0.9417181884805498,0.026327822713797227
Gilbert,12,0.25,8,66.9307488180013,9.839951737474516,1196.4,139.8144166783637,0.8199182607236744,0.03352505349087867
Gilbert,13,0.25,8,55.15410048950289,6.096747892493468,1011.0,87.6357359883639,0.9031385720796491,0.03362726007114256
Gilbert,14,0.25,8,76.67870746979898,7.491350690108447,1134.6,82.1424507926457,0.8153495985586898,0.05389161528616333
Gilbert,15,0.25,8,74.9293208449948,7.790656979107479,1059.8,91.21327876039881,0.7853485695535982,0.03285154223112439
Gilbert,5,0.25,9,14.572076894300698,3.7059220456400346,801.8,188.1737849258853,0.9749164987804171,0.024990766859069553
Gilbert,6,0.25,9,12.766570761598995,2.893219003049293,606.6,111.71831641330002,0.9749538860512924,0.024994917951879466
Gilbert,7,0.25,9,31.5332833235967,3.5090329430252933,1159.2,129.08884107036084,0.985485859687581,0.014412774645947028
Gilbert,8,0.25,9,39.27347680480161,4.082537845879017,1226.4,121.94126090504031,0.9813633450370046,0.013293090808580885
Gilbert,9,0.25,9,45.52016226019914,5.277626548658066,1177.4,89.81266923744975,0.9351359911413144,0.0261753518683702
