family,N,q,p,sample_idx,times,evals,aratio
Gilbert,14,0.25,3,4,3.3714752020023298,134,0.7393169625567143
Gilbert,14,0.25,3,5,5.789130272998591,166,0.27840253168212614
Gilbert,14,0.25,3,6,4.247784680992481,150,0.4858833518175732
Gilbert,14,0.25,3,7,4.362218495007255,152,0.2715980074149405
Gilbert,14,0.25,3,8,5.504456940005184,174,0.8854659131404523
Gilbert,14,0.25,3,9,5.776355794994743,182,0.5934084199185177
Gilbert,15,0.25,3,0,5.091594362005708,164,-0.02834212420033344
Gilbert,15,0.25,3,1,2.342700548004359,96,0.9317695322629618
Gilbert,15,0.25,3,2,5.149186383001506,160,0.505537817560402
Gilbert,15,0.25,3,3,9.548687427988625,270,0.49021623732843195
Gilbert,15,0.25,3,4,4.894983581005363,160,0.2710418293495674
Gilbert,15,0.25,3,5,3.417537909001112,120,0.44997412606001663
Gilbert,15,0.25,3,6,5.8005495040124515,168,0.3200452362142155
Gilbert,15,0.25,3,7,4.2793488270108355,136,0.4765118655394985
Gilbert,15,0.25,3,8,6.307805331001873,194,0.41726527015696885
Gilbert,15,0.25,3,9,4.998517038999125,162,0.429944074816428
Gilbert,5,0.25,4,0,1.2148416120035108,134,0.9867833283208185
Gilbert,5,0.25,4,1,1.5100325430103112,160,0.9933241996662986
Gilbert,5,0.25,4,2,1.4005658509995556,186,0.9999999996435318
Gilbert,5,0.25,4,3,1.395135469007073,186,0.9999999996435308
Gilbert,5,0.25,4,4,0.2225174279883504,24,0.75
Gilbert,5,0.25,4,5,1.5102208040043479,160,0.9933241996662997
Gilbert,5,0.25,4,6,1.3045331510074902,166,0.986700489817852
Gilbert,5,0.25,4,7,1.1785546780010918,140,0.9999999999995555
Gilbert,5,0.25,4,8,1.338602248011739,166,0.986700489817851
Gilbert,5,0.25,4,9,2.2380054440000094,258,0.9345902511188642
Gilbert,6,0.25,4,0,1.342144821988768,132,0.9989924888500552
Gilbert,6,0.25,4,1,2.7043128609948326,222,0.9733484308848377
Gilbert,6,0.25,4,2,1.2967925069970079,132,0.9989924888500564
Gilbert,6,0.25,4,3,3.7838745350018144,270,0.9999999895362467
Gilbert,6,0.25,4,4,1.4212697990005836,134,0.9897629682658384
Gilbert,6,0.25,4,5,1.445238871005131,150,0.9999999999998703
Gilbert,6,0.25,4,6,1.6243553759995848,164,0.9943130824837909
Gilbert,6,0.25,4,7,0.23778685100842267,24,0.7500000000000001
Gilbert,6,0.25,4,8,1.882868716988014,158,0.999999999748499
Gilbert,6,0.25,4,9,1.4519265069975518,150,0.9999999999998688
Gilbert,7,0.25,4,0,2.8875154509878485,202,0.6707772559720511
Gilbert,7,0.25,4,1,1.586190368005191,122,0.9768809088230833
Gilbert,7,0.25,4,2,2.8936559860012494,206,0.9999999999338502
Gilbert,7,0.25,4,3,3.2181883130106144,216,0.9999999999771206
Gilbert,7,0.25,4,4,1.9873545719892718,162,0.9939506649462975
Gilbert,7,0.25,4,5,1.9844908419909189,172,0.9944211701272604
Gilbert,7,0.25,4,6,2.424548547001905,178,0.9999999999432498
Gilbert,7,0.25,4,7,2.636165877003805,190,0.9839481611377074
Gilbert,7,0.25,4,8,2.6983772789972136,182,0.9999999999970104
Gilbert,7,0.25,4,9,4.806653459003428,288,0.9996577348831369
Gilbert,8,0.25,4,0,3.399807282999973,214,0.9782659509926397
Gilbert,8,0.25,4,1,3.012729419002426,192,0.8424315301717584
Gilbert,8,0.25,4,2,3.21977937000338,214,0.9911134462119989
Gilbert,8,0.25,4,3,3.3473067520098994,184,0.5754539891647502
Gilbert,8,0.25,4,4,3.4602736989909317,206,0.9999999999867007
Gilbert,8,0.25,4,5,4.974469837005017,296,0.999999999671183
