family,N,d,q,p,sample_idx,times_cold,times_warm,evals_cold,evals_warm,aratio_cold,aratio_warm
Gilbert,5,,0.1,6,7,13.252991820918396,13.495746375992894,228,248,0.9999999999667919,0.9999999997902601
Gilbert,5,,0.1,6,8,13.061179609969258,13.32216800795868,228,248,0.9999999999667923,0.9999999997902598
Gilbert,5,,0.1,6,9,13.16751648299396,13.347652637166902,228,248,0.9999999999667923,0.9999999997902598
Gilbert,5,,0.1,6,10,15.30958379083313,12.121131918858737,244,198,0.9999999999900405,0.9999999999985626
Gilbert,5,,0.1,6,11,13.201136328047141,13.425377859035507,228,248,0.9999999999667919,0.999999999790259
Gilbert,5,,0.1,6,12,13.061348150018603,13.432315869024023,228,248,0.9999999999667919,0.99999999979026
Gilbert,5,,0.1,6,13,1.5112615618854761,1.5819305770564824,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,14,15.351693538948894,11.966018802020699,244,198,0.9999999999900394,0.9999999999985607
Gilbert,5,,0.1,6,15,13.092350641964003,13.313995047006756,228,248,0.9999999999667919,0.9999999997902601
Gilbert,5,,0.1,6,16,1.5084025070536882,1.572293212171644,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,17,1.5050389009993523,1.7044291668571532,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,18,36.45163132692687,98.03217936307192,446,1168,0.9978788103928287,0.9999135646445245
Gilbert,5,,0.1,6,19,13.095574110979214,13.500414222013205,228,248,0.9999999999667931,0.9999999997902607
Gilbert,5,,0.1,7,0,80.40022860490717,110.06438650609925,882,1274,0.9999999991653316,0.9999220353548954
Gilbert,5,,0.1,7,1,1.7092015279922634,1.7721759059932083,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,2,1.706927680876106,1.7684765809681267,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,3,15.76872463291511,16.034498198889196,254,274,0.9999999999949029,0.9999999999946056
Gilbert,5,,0.1,7,4,1.789810761809349,1.8520344190765172,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,5,65.85506406892091,57.84357688087039,762,638,0.9999999996561397,0.9999999992296313
Gilbert,5,,0.1,7,6,1.700626535108313,1.768219263991341,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,7,15.748298021964729,15.986666284967214,254,274,0.9999999999949024,0.9999999999946054
Gilbert,5,,0.1,7,8,15.691744749201462,15.985271805897355,254,274,0.9999999999949021,0.9999999999946054
Gilbert,5,,0.1,7,9,15.676463391864672,16.020828853128478,254,274,0.9999999999949021,0.9999999999946054
Gilbert,5,,0.1,7,10,19.390518435975537,14.38086841488257,282,220,0.9999999999997916,0.9999999999753179
Gilbert,5,,0.1,7,11,15.83536688820459,15.956901244819164,254,274,0.9999999999949034,0.9999999999946054
Gilbert,5,,0.1,7,12,15.691287894034758,16.077958359848708,254,274,0.9999999999949025,0.9999999999946051
Gilbert,5,,0.1,7,13,1.692724748980254,1.7568684490397573,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,14,19.39430972188711,14.435248099965975,282,220,0.999999999999792,0.999999999975319
Gilbert,5,,0.1,7,15,15.662367416080087,16.07971016294323,254,274,0.9999999999949024,0.9999999999946054
Gilbert,5,,0.1,7,16,1.8302336300257593,1.8618075428530574,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,17,1.6906205359846354,1.75870699621737,26,30,0.500000000000001,0.75
Gilbert,5,,0.1,7,18,96.55567838996649,120.3755311050918,1020,1374,0.999999999797307,0.9999912166226556
Gilbert,5,,0.1,7,19,15.693651923211291,16.089018251979724,254,274,0.9999999999949016,0.9999999999946054
Gilbert,5,,0.1,8,0,123.93778978195041,150.71218658797443,1238,1618,0.9999999993041365,0.9999999848598649
Gilbert,5,,0.1,8,1,2.006959611084312,2.0655564558692276,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,2,1.9995106521528214,1.9754264778457582,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,3,19.012740443926305,19.06141657102853,282,300,0.9999999995619662,0.9999999999996996
Gilbert,5,,0.1,8,4,1.9059850010089576,1.9728143969550729,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,5,75.38197965407744,68.202200391097,828,704,0.9999999993119523,0.9999999996232154
Gilbert,5,,0.1,8,6,1.9103362399619073,1.9712513079866767,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,7,19.030501264845952,18.899953784886748,282,300,0.9999999995619666,0.9999999999996992
Gilbert,5,,0.1,8,8,18.89855301612988,18.803199439076707,282,300,0.9999999995619657,0.9999999999996976
Gilbert,5,,0.1,8,9,18.87184290518053,18.953438610071316,282,300,0.9999999995619657,0.9999999999996976
Gilbert,5,,0.1,8,10,24.120006631826982,17.268364562187344,320,244,0.9999999999998339,0.9999999999996105
Gilbert,5,,0.1,8,11,18.94915272598155,18.917916594073176,282,300,0.9999999995619666,0.9999999999996978
Gilbert,5,,0.1,8,12,18.790771783096716,19.02306936401874,282,300,0.9999999995619674,0.9999999999996984
Gilbert,5,,0.1,8,13,1.8912360740359873,1.9628292268607765,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,14,24.05089491698891,17.672085480066016,320,244,0.9999999999998331,0.9999999999996104
Gilbert,5,,0.1,8,15,18.84142437693663,18.961394410114735,282,300,0.9999999995619666,0.9999999999996992
Gilbert,5,,0.1,8,16,1.892121568089351,1.9515280099585652,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,17,1.935152204008773,1.956251892959699,28,32,0.49999999999999883,0.75
Gilbert,5,,0.1,8,18,108.75409159902483,171.15702423104085,1124,1800,0.9999999994566242,0.9999999984550136
Gilbert,5,,0.1,8,19,18.855757004814222,19.072519240900874,282,300,0.9999999995619657,0.9999999999996982
Gilbert,5,,0.1,9,0,132.84756062505767,188.79779608990066,1310,1896,0.9999999993968326,0.9999999964395438
Gilbert,5,,0.1,9,1,2.142410613130778,2.2027141549624503,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,2,2.1366655922029167,2.2914417849387974,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,3,22.855467488989234,22.202188707888126,312,326,0.9999999999994926,0.9999999999997802
Gilbert,5,,0.1,9,4,2.1419468119274825,2.285991784883663,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,5,87.12624741299078,79.51676690694876,902,782,0.9999999980481983,0.9999999999625713
Gilbert,5,,0.1,9,6,2.240551143884659,2.2007606939878315,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,7,22.68906277185306,22.134212639881298,312,326,0.9999999999994929,0.9999999999997798
Gilbert,5,,0.1,9,8,22.633829028112814,21.97847377578728,312,326,0.9999999999994935,0.9999999999997802
Gilbert,5,,0.1,9,9,22.60218953783624,22.213168960995972,312,326,0.9999999999994935,0.9999999999997802
Gilbert,5,,0.1,9,10,28.929901954950765,20.256179627031088,356,266,0.9999999999737067,0.9999999999964001
Gilbert,5,,0.1,9,11,22.874624781077728,21.954310084925964,312,326,0.9999999999994924,0.99999999999978
Gilbert,5,,0.1,9,12,22.646250369027257,22.259559677913785,312,326,0.9999999999994935,0.9999999999997811
Gilbert,5,,0.1,9,13,2.2598012038506567,2.187768741045147,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,14,28.8515109019354,20.49849200504832,356,266,0.9999999999737068,0.9999999999964014
Gilbert,5,,0.1,9,15,22.60669737914577,22.268190728034824,312,326,0.9999999999994929,0.9999999999997798
Gilbert,5,,0.1,9,16,2.1225290880538523,2.1853206041269004,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,17,2.2589072762057185,2.1804746510460973,30,34,0.5000000000000013,0.75
Gilbert,5,,0.1,9,18,136.1729204559233,261.603679579217,1328,2476,0.9999999978427385,0.9999987961823233
Gilbert,5,,0.1,9,19,22.522978754946962,22.173841018928215,312,326,0.9999999999994932,0.9999999999997802
Gilbert,5,,0.1,10,0,145.1909933469724,217.90986189991236,1386,2094,0.9999999993375005,0.9999999815372432
Gilbert,5,,0.1,10,1,2.4884339969139546,2.5457349431235343,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,2,2.416463221888989,2.4734051590785384,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,3,27.040237725013867,25.290323870955035,342,348,0.9999999999928522,0.9999999999996159
Gilbert,5,,0.1,10,4,2.501571180066094,2.4510259970556945,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,5,97.64818172296509,90.68657988193445,962,846,0.9999999998139989,0.9999999999733019
Gilbert,5,,0.1,10,6,2.3797779048327357,2.5387128959409893,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,7,27.06647222698666,25.259969394886866,342,348,0.9999999999928525,0.9999999999996162
Gilbert,5,,0.1,10,8,26.766121616819873,25.058658176101744,342,348,0.9999999999928528,0.9999999999996156
Gilbert,5,,0.1,10,9,26.741300733061507,25.240642667980865,342,348,0.9999999999928528,0.9999999999996156
Gilbert,5,,0.1,10,10,34.360774961998686,23.902139892801642,392,290,0.9999999999970087,0.9999999999922246
Gilbert,5,,0.1,10,11,26.91025426099077,25.070074524031952,342,348,0.9999999999928527,0.9999999999996161
Gilbert,5,,0.1,10,12,26.700038466835395,25.37983488594182,342,348,0.9999999999928509,0.9999999999996166
Gilbert,5,,0.1,10,13,2.3846672258805484,2.5299724221695215,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,14,34.50050590909086,24.072540946071967,392,290,0.9999999999970091,0.9999999999922234
Gilbert,5,,0.1,10,15,26.765293044038117,25.232773679075763,342,348,0.9999999999928525,0.9999999999996162
Gilbert,5,,0.1,10,16,2.4860683688893914,2.5645516929216683,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,17,2.3916864881757647,2.544585251947865,32,36,0.4999999999999985,0.75
Gilbert,5,,0.1,10,18,153.52308307401836,317.3112494989764,1436,2842,0.9999999982166677,0.9999999314366582
Gilbert,5,,0.1,10,19,26.706080108880997,25.52446112711914,342,348,0.9999999999928525,0.9999999999996165
Gilbert,5,,0.25,1,0,0.6834802888333797,0.34017699188552797,32,44,0.39802367869239436,0.8435492846645739
Gilbert,5,,0.25,1,1,0.2504951641894877,0.2700032591819763,26,34,0.48607891094024724,0.8111970029275081
Gilbert,5,,0.25,1,2,0.2292112100403756,0.25594513793475926,24,36,0.8816805272182263,0.9216531477736112
Gilbert,5,,0.25,1,3,0.21099840896204114,0.2737382410559803,24,36,0.8816805272182263,0.9216531477736112
Gilbert,5,,0.25,1,4,0.16811105702072382,0.18197971093468368,14,18,0.5000000000000002,0.75
Gilbert,5,,0.25,1,5,0.23254553996957839,0.2866898470092565,26,34,0.48607891094024724,0.8111970029275083
Gilbert,5,,0.25,1,6,0.25133978202939034,0.5347582590766251,28,86,0.42792305966929406,0.8429650338722449
Gilbert,5,,0.25,1,7,0.21891383081674576,0.2180969901382923,20,24,0.7098607832040397,0.8228259320804204
Gilbert,5,,0.25,1,8,0.2501897090114653,0.5311497328802943,28,86,0.42792305966929406,0.8429650338722449
Gilbert,5,,0.25,1,9,0.25011596782132983,0.3274699829053134,26,48,0.5984406188950052,0.8646893704290834
Gilbert,5,,0.25,1,10,0.34723766101524234,0.3421641020104289,32,44,0.39802367869239436,0.8435492846645737
Gilbert,5,,0.25,1,11,0.2526408729609102,0.2699229351710528,26,34,0.48607891094024724,0.811197002927508
Gilbert,5,,0.25,1,12,0.18653653794899583,0.1817285381257534,14,18,0.5000000000000002,0.75
Gilbert,5,,0.25,1,13,0.17050559888593853,0.18252009409479797,14,18,0.5000000000000002,0.75
Gilbert,5,,0.25,1,14,0.26845145085826516,0.3238501700107008,32,44,0.39802367869239436,0.843549284664574
Gilbert,5,,0.25,1,15,0.23545769811607897,0.28409224399365485,26,34,0.4860789109402473,0.8111970029275083
Gilbert,5,,0.25,1,16,0.26889919489622116,0.32517900108359754,32,44,0.39802367869239436,0.843549284664574
Gilbert,5,,0.25,1,17,0.2669951019342989,0.3420613252092153,30,42,0.3463913464438522,0.6075715976024811
Gilbert,5,,0.25,1,18,0.24994363286532462,0.3112302399240434,26,44,0.48607891094024724,0.792384223513977
Gilbert,5,,0.25,1,19,0.29239723994396627,0.2582809799350798,40,28,0.47283446583475874,0.5036650431106694
Gilbert,5,,0.25,2,0,0.5135791830252856,0.49129868298768997,68,68,0.7086555675210491,0.9292994466798926
Gilbert,5,,0.25,2,1,0.7289119630586356,0.4520486171822995,92,62,0.8417319942414752,0.9459356698839209
Gilbert,5,,0.25,2,2,0.43298050318844616,0.4837080370634794,62,76,0.973322696278797,0.9929963775681675
Gilbert,5,,0.25,2,3,0.4280881439335644,0.48254843801259995,62,76,0.9733226962787966,0.9929963775681676
Gilbert,5,,0.25,2,4,0.17940152809023857,0.1916349499952048,16,20,0.49999999999999967,0.75
Gilbert,5,,0.25,2,5,0.6735791279934347,0.5242285709828138,92,62,0.8417319942414755,0.9459356698839207
