family,N,q,p,relax_ratio_mean,relax_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,14,0.25,3,0.3721428571428571,0.31324101862955084,0.6101142689664304,0.0803686155229671,0.4488474560053689,0.05153529939742154
Gilbert,15,0.25,3,0.0014880952380952716,0.29529357690948166,0.42639638650881573,0.07536094693444463,0.5138620184795407,0.02947193920458713
Gilbert,5,0.25,5,1.0,0.0,0.9683274396243995,0.024445179057688234,0.9204558724983343,0.04809241998474113
Gilbert,6,0.25,5,1.0,0.0,0.9577050401194,0.026372065712182476,0.8795910953766348,0.053794181382080225
Gilbert,7,0.25,5,0.9125,0.08750000000000001,0.9762190323077764,0.021482841673011732,0.7737756819006422,0.04290981245846654
Gilbert,8,0.25,5,0.9625,0.0375,0.8917141054332651,0.06561623734252886,0.8174524604512678,0.02619899015101901
Gilbert,9,0.25,5,0.5875,0.19189298232782423,0.8300768283675938,0.0696740037864258,0.7791822160396543,0.031648998726902584
Gilbert,10,0.25,5,0.86,0.11075498483890767,0.9416136783838415,0.03265324335169139,0.775139042182994,0.02901289820423278
Gilbert,11,0.25,5,0.735,0.11106804721030757,0.9033651597622493,0.03583717386025322,0.7455707703285749,0.041293326607536075
Gilbert,12,0.25,5,0.2816666666666667,0.16814988170096754,0.7665635355037508,0.037427493606906975,0.7022326746645634,0.021853361041892116
Gilbert,13,0.25,5,0.46119047619047615,0.1810658409262082,0.7702857187052953,0.05506131679820589,0.7200316759724525,0.03473964127057398
Gilbert,14,0.25,5,0.36404761904761906,0.24538918908424948,0.7734088872325913,0.054060783839469446,0.6671819736321968,0.05269825766265902
Gilbert,15,0.25,5,0.07351190476190475,0.16772038525401617,0.5275139603817504,0.10420255095771519,0.5892816303083285,0.06593906608940332
Gilbert,5,0.25,7,1.0,0.0,0.9746561084084572,0.024962391336484008,0.9464499727195665,0.04965518150723887
Gilbert,6,0.25,7,1.0,0.0,0.9748642855922368,0.02498527868588171,0.9315488687889047,0.04891367917791374
Gilbert,7,0.25,7,0.9125,0.08750000000000001,0.9759926548580289,0.02372488777216858,0.8682724724171997,0.03174270538579998
Gilbert,8,0.25,7,0.9125,0.08750000000000001,0.9747152298490633,0.01989072414249558,0.8670174558238847,0.028885993019470542
Gilbert,9,0.25,7,0.75,0.09128709291752768,0.8953982991333225,0.039491309549676994,0.8381119172276452,0.028444179764248515
Gilbert,10,0.25,7,0.82,0.12806248474865697,0.9637558475705987,0.024175316768841455,0.8543341485620953,0.03320009627867163
Gilbert,11,0.25,7,0.4616666666666666,0.2459806526568329,0.9348876022813274,0.028719452029341223,0.8147522264395979,0.03365881375141754
