family,N,q,p,sample_idx,relax_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,12,0.25,2,6,-1.9166666666666667,0.5427482150641921,0.4897355160685379
Gilbert,12,0.25,2,7,-0.5,0.4257283193410345,0.4308685128036142
Gilbert,12,0.25,2,8,0.0,0.496689398291074,0.49668939829107456
Gilbert,12,0.25,2,9,1.0,0.681919425463756,0.5326175650681015
Gilbert,13,0.25,2,0,1.0,0.8027500422506293,0.38143539654462505
Gilbert,13,0.25,2,1,1.0,0.44284141336833893,0.7757456708502314
Gilbert,13,0.25,2,2,1.0,0.4676495109012499,0.46198533283752397
Gilbert,13,0.25,2,3,0.5,0.37093515513072534,0.318631545766821
Gilbert,13,0.25,2,4,0.5833333333333334,0.3603840604861757,0.36038406048617583
Gilbert,13,0.25,2,5,0.6428571428571429,0.5934314021101311,0.5132818761531962
Gilbert,13,0.25,2,6,-1.3333333333333333,0.40489374465062467,0.4048937446506213
Gilbert,13,0.25,2,7,1.0,0.8051573289785334,0.45593818819493187
Gilbert,13,0.25,2,8,1.0,0.7989849319433049,0.5658170059067184
Gilbert,13,0.25,2,9,-0.8,0.557508580846048,0.5575085808460445
Gilbert,14,0.25,2,0,0.4166666666666667,0.5630214723327948,0.27436221385384824
Gilbert,14,0.25,2,1,1.0,0.6288600367011529,0.3451749547830113
Gilbert,14,0.25,2,2,-0.4166666666666667,0.34664470567614103,0.3466447056761403
Gilbert,14,0.25,2,3,1.0,0.8138015761347565,0.47519488061901577
Gilbert,14,0.25,2,4,1.0,0.5920808913726772,0.4660036231616504
Gilbert,14,0.25,2,5,0.16666666666666666,-0.20072490956168312,-0.06661853057164298
Gilbert,14,0.25,2,6,0.6428571428571429,0.5204365695444734,0.492076439321044
Gilbert,14,0.25,2,7,-0.16666666666666666,0.4874100817326439,0.47115610257281865
Gilbert,14,0.25,2,8,1.0,0.8326180278818727,-0.24711336861064062
Gilbert,14,0.25,2,9,-0.9,0.45947776956890996,0.4594777695689114
